zin;label
De aarde draait om de zon;0
Dit is de beste film ooit;1
Water kookt op 100 graden;0
Ik vind deze muziek verschrikkelijk;1
De Mount Everest is 8849 meter hoog;0
Ik denk dat paars de mooiste kleur is;1
Nederland heeft 17 miljoen inwoners;0
Deze vakantie was absoluut geweldig;1
De aarde draait om de zon;0
Ik vind chocolade het lekkerste snoep;1
Water bestaat uit waterstof en zuurstof;0
Deze stoel zit ontzettend comfortabel;1
Parijs is de hoofdstad van Frankrijk;0
Volgens mij is dit een slechte beslissing;1
Een week heeft zeven dagen;0
Dit boek is ongelooflijk saai;1
De mens heeft twee longen;0
Ik denk dat honden leuker zijn dan katten;1
De Noordzee grenst aan Nederland;0
Deze maaltijd smaakt fantastisch;1
IJzer is een metaal;0
Die film was veel te langdradig;1
De maan draait om de aarde;0
Ik vind rood een prachtige kleur;1
Een uur bestaat uit zestig minuten;0
Dit restaurant heeft het lekkerste eten;1
Planten gebruiken fotosynthese;0
Volgens mij is dit een geweldige uitvinding;1
Japan ligt in Azië;0
Deze auto ziet er prachtig uit;1
Het menselijk lichaam heeft een skelet;0
Ik vind regenachtig weer vervelend;1
Zuurstof heeft atoomnummer 8;0
Dit liedje klinkt prachtig;1
De Rijn stroomt door meerdere landen;0
Ik denk dat voetbal de leukste sport is;1
Saturnus heeft ringen;0
Deze kamer is veel te klein;1
Koper geleidt elektriciteit;0
Volgens mij is dat een slimme leerling;1
Een driehoek heeft drie zijden;0
Deze taart is heerlijk;1
De Sahara is een woestijn;0
Ik vind wintersport geweldig;1
Een decennium duurt tien jaar;0
Dit is de mooiste stad van Nederland;1
Berlijn ligt in Duitsland;0
Volgens mij is dat een slechte film;1
Het hart pompt bloed door het lichaam;0
Deze computer werkt ontzettend snel;1
Mercurius is een planeet;0
Ik vind geschiedenis een interessant vak;1
Een kilogram bestaat uit duizend gram;0
Dit uitzicht is adembenemend;1
De Stille Oceaan is een oceaan;0
Volgens mij is blauw de mooiste kleur;1
Mieren zijn insecten;0
Deze les is saai;1
De evenaar verdeelt de aarde in twee hemisferen;0
Ik vind pizza lekkerder dan pasta;1
Londen ligt aan de rivier de Theems;0
Dit hotel is fantastisch;1
Een vierkant heeft vier gelijke zijden;0
Volgens mij is dat een uitstekend idee;1
De aarde heeft één natuurlijke satelliet;0
Deze bank zit niet prettig;1
Neptunus is verder van de zon dan de aarde;0
Ik vind dit spel erg leuk;1
Een jaar heeft twaalf maanden;0
Dit is een prachtige foto;1
Goud heeft symbool Au;0
Volgens mij is die acteur overschat;1
Walvissen zijn zoogdieren;0
Deze schoenen zijn erg mooi;1
De Alpen liggen in Europa;0
Ik vind thee lekkerder dan koffie;1
Een rechthoek heeft vier hoeken;0
Dit is de beste dag van de week;1
De zon is een ster;0
Volgens mij is dat een slechte gewoonte;1
Vogels leggen eieren;0
Deze vakantie was geweldig;1
De Atlantische Oceaan ligt tussen Amerika en Europa;0
Ik vind dit onderwerp interessant;1
Een cirkel heeft geen hoeken;0
Dit is een indrukwekkend gebouw;1
De mens behoort tot de primaten;0
Volgens mij is dat een saaie presentatie;1
Elektronen hebben een negatieve lading;0
Deze muziek klinkt verschrikkelijk;1
Mars wordt de rode planeet genoemd;0
Ik vind strandvakanties heerlijk;1
Een etmaal duurt vierentwintig uur;0
Dit is een schitterend schilderij;1
De Middellandse Zee ligt tussen Europa en Afrika;0
Volgens mij is dit de juiste keuze;1
Bomen nemen koolstofdioxide op;0
Ik vind dit een prachtig verhaal;1
De aarde is ongeveer 4,5 miljard jaar oud;0
Deze app is ontzettend handig;1
Een kubus heeft zes vlakken;0
Volgens mij is dit het lekkerste dessert;1
Amsterdam is de hoofdstad van Nederland;0
Ik vind Amsterdam de mooiste stad van Nederland;1
Een vierkant heeft vier zijden;0
Deze pizza smaakt heerlijk;1
De aarde draait om de zon;0
Volgens mij is dit een slecht plan;1
Water bevriest bij 0 graden Celsius;0
Ik vind winters veel gezelliger dan zomers;1
Een mens heeft twee ogen;0
Deze film is fantastisch;1
Frankrijk ligt in Europa;0
Ik denk dat katten leuker zijn dan honden;1
Een jaar telt twaalf maanden;0
Dit boek is ontzettend saai;1
De maan draait om de aarde;0
Ik vind deze kleur prachtig;1
IJzer is een metaal;0
Deze auto ziet er lelijk uit;1
Een driehoek heeft drie hoeken;0
Volgens mij is dat een slimme keuze;1
De Rijn stroomt door Duitsland;0
Ik vind zwemmen de leukste sport;1
Zuurstof is een chemisch element;0
Deze kamer voelt ongezellig aan;1
Saturnus heeft ringen;0
Ik denk dat deze muziek geweldig is;1
Een etmaal duurt 24 uur;0
Dit is het beste restaurant van de stad;1
Bomen nemen koolstofdioxide op;0
Ik vind regen vervelend;1
Mars wordt de rode planeet genoemd;0
Deze presentatie was interessant;1
Een kubus heeft zes vlakken;0
Volgens mij is dat een slechte film;1
China ligt in Azië;0
Ik vind geschiedenis een leuk vak;1
Een kilogram is duizend gram;0
Deze stoel zit ongemakkelijk;1
Vogels leggen eieren;0
Ik denk dat blauw de mooiste kleur is;1
Mercurius is de dichtstbijzijnde planeet bij de zon;0
Dit uitzicht is adembenemend;1
Een cirkel heeft geen hoeken;0
Volgens mij is dit een briljant idee;1
Walvissen zijn zoogdieren;0
Ik vind deze app erg handig;1
De Atlantische Oceaan ligt tussen Europa en Amerika;0
Deze vakantie was geweldig;1
Een week heeft zeven dagen;0
Ik denk dat dit de leukste attractie is;1
De Mount Everest is de hoogste berg boven zeeniveau;0
Deze taart smaakt verschrikkelijk;1
Planten gebruiken fotosynthese;0
Ik vind deze jas mooi;1
De Noordpool ligt op het noordelijk halfrond;0
Volgens mij is dat een saaie les;1
Een rechthoek heeft vier hoeken;0
Deze computer werkt uitstekend;1
Japan bestaat uit meerdere eilanden;0
Ik vind thee lekkerder dan koffie;1
Elektronen hebben een negatieve lading;0
Dit schilderij is prachtig;1
De Sahara is een woestijn;0
Ik denk dat deze acteur overschat is;1
Goud heeft atoomnummer 79;0
Deze tuin ziet er schitterend uit;1
Een minuut heeft zestig seconden;0
Volgens mij is dat een slechte gewoonte;1
De Middellandse Zee ligt tussen Europa en Afrika;0
Ik vind dit liedje irritant;1
Neptunus is een planeet;0
Deze school heeft een fijne sfeer;1
Koper geleidt elektriciteit;0
Ik denk dat voetbal de leukste teamsport is;1
Een halve cirkel is 180 graden;0
Dit gerecht smaakt fantastisch;1
Londen ligt in het Verenigd Koninkrijk;0
Ik vind dit onderwerp saai;1
Mieren zijn insecten;0
Deze laptop is geweldig;1
De aarde heeft één natuurlijke satelliet;0
Volgens mij is rood de mooiste kleur;1
Een decennium duurt tien jaar;0
Deze kamer is veel te klein;1
Berlijn is de hoofdstad van Duitsland;0
Ik vind dit hotel uitstekend;1
Het hart pompt bloed door het lichaam;0
Deze fiets rijdt prettig;1
De Alpen liggen in Europa;0
Ik denk dat deze beslissing verkeerd is;1
Een driehoek heeft drie zijden;0
Dit boek is indrukwekkend;1
Spinnen hebben acht poten;0
Ik vind deze film ontroerend;1
De evenaar verdeelt de aarde in twee hemisferen;0
Volgens mij is dit een slimme investering;1
Het menselijk skelet bevat botten;0
Deze muziek klinkt prachtig;1
De Stille Oceaan is de grootste oceaan;0
Ik vind deze kamer gezellig;1
Een uur heeft zestig minuten;0
Dit is de mooiste foto die ik ooit heb gezien;1
De zon is een ster;0
Volgens mij is dat een uitstekende docent;1
Waterstof is het lichtste element;0
Ik vind dit spel leuk;1
Canberra is de hoofdstad van Australië;0
Deze maaltijd was teleurstellend;1
Een vierkant heeft vier hoeken;0
Ik denk dat dit een geweldig boek is;1
De Nijl stroomt door Afrika;0
Deze straat ziet er mooi uit;1
De aarde is ongeveer 4,5 miljard jaar oud;0
Ik vind dit een slecht ontwerp;1
Een kubus heeft twaalf ribben;0
Volgens mij is dit de beste oplossing;1
De maan weerkaatst zonlicht;0
Deze wedstrijd was spannend;1
Bijen produceren honing;0
Ik vind deze stoel lelijk;1
Een liter bevat duizend milliliter;0
Deze vakantie was saai;1
Mexico ligt in Noord-Amerika;0
Ik denk dat dit een goede film is;1
Het menselijk lichaam heeft een huid;0
Deze koffie smaakt heerlijk;1
Een rechte hoek is 90 graden;0
Ik vind dit museum interessant;1
De Andes liggen in Zuid-Amerika;0
Volgens mij is dat een slechte aankoop;1
Een cel bevat DNA;0
Deze jas staat je goed;1
Rusland is het grootste land ter wereld;0
Ik vind dit een briljant idee;1
Een driehoek heeft een hoekensom van 180 graden;0
Deze sport is saai;1
De zon komt op in het oosten;0
Ik denk dat deze muziek vervelend is;1
Haaien leven in zeeën en oceanen;0
Dit park is prachtig;1
De aarde draait in ongeveer 24 uur om haar as;0
Ik vind dit gerecht niet lekker;1
India ligt in Azië;0
Deze voorstelling was geweldig;1
Een vierkant heeft gelijke zijden;0
Volgens mij is dit een slechte service;1
Vissen ademen met kieuwen;0
Ik vind dit een mooie kleur;1
De temperatuur wordt gemeten in graden;0
Deze laptop is waardeloos;1
Een weekeinde bestaat uit zaterdag en zondag;0
Ik denk dat deze stad prachtig is;1
De oceaan bevat zout water;0
Deze les was nuttig;1
Zilver is een metaal;0
Ik vind dit lied geweldig;1
De aarde heeft continenten;0
Deze film was verschrikkelijk;1
Een meter bestaat uit honderd centimeter;0
Volgens mij is dit een slimme strategie;1
Kangoeroes komen oorspronkelijk uit Australië;0
Ik vind dit restaurant slecht;1
De zon produceert energie door kernfusie;0
Deze auto rijdt heerlijk;1
Een kwartier duurt vijftien minuten;0
Ik denk dat dit een prachtige tuin is;1
De Grote Oceaan wordt ook de Stille Oceaan genoemd;0
Deze game is verslavend leuk;1
IJs smelt boven 0 graden Celsius;0
Ik vind dit gebouw indrukwekkend;1
De aarde heeft een atmosfeer;0
Volgens mij is dit een slechte keuze;1
Pinguïns zijn vogels;0
Deze taart is de lekkerste die ik ooit heb gegeten;1
Een mens heeft een hersenenstelsel;0
Ik vind dit verhaal ontroerend;1
De hoofdstad van Spanje is Madrid;0
Deze broek zit comfortabel;1
Een driehoek heeft drie punten;0
Ik denk dat dit een saaie bijeenkomst wordt;1
De Noordzee ligt ten westen van Nederland;0
Deze schilder is uitzonderlijk goed;1
Bacteriën zijn micro-organismen;0
Ik vind dit nummer irritant;1
Een rechthoekige driehoek bevat een rechte hoek;0
Deze app werkt geweldig;1
De aarde heeft oceanen;0
Volgens mij is dit de mooiste plek ter wereld;1
De zon staat verder van de aarde dan de maan;0
Ik vind deze vakantie geweldig;1
Olifanten zijn zoogdieren;0
Deze bank is erg mooi;1
Een cirkel heeft een middelpunt;0
Ik denk dat dit een slechte investering is;1
De hoofdstad van Italië is Rome;0
Deze soep smaakt heerlijk;1
Water heeft een chemische formule van H₂O;0
Ik vind dit boek inspirerend;1
De evenaar is een denkbeeldige lijn;0
Deze klas is gezellig;1
Een driehoek is een veelhoek;0
Volgens mij is dit een uitstekende film;1
De aarde is afgeplat aan de polen;0
Ik vind dit ontwerp prachtig;1
Een dag heeft 1440 minuten;0
Deze muziek is fantastisch;1
De Alpen bevatten hoge bergtoppen;0
Ik denk dat dit een slechte beslissing was;1
Een vierkant is een rechthoek;0
Deze stad is ontzettend mooi;1
De maan heeft geen eigen lichtbron;0
Ik vind dit gerecht geweldig;1
Een kubus heeft acht hoekpunten;0
Volgens mij is dit een uitstekend boek;1
Nederland ligt in Europa;0
Deze presentatie was saai;1
Een seconde is een tijdseenheid;0
Ik vind dit de leukste sport ooit;1
Het menselijk lichaam bevat organen;0
Deze vakantie was onvergetelijk;1
De zon is groter dan de aarde;0
Ik denk dat dit een prachtig schilderij is;1
Een driehoek heeft drie lijnen als zijden;0
Deze auto is de mooiste die ik ooit heb gezien;1
De aarde draait in een baan om de zon;0
Ik vind dit een fantastisch idee;1
De Eiffeltoren staat in Parijs;0
Ik vind de Eiffeltoren mooier dan de meeste moderne gebouwen;1
Een octopus heeft drie harten;0
Deze vergadering duurde veel te lang;1
De snelheid van het licht in vacuüm is ongeveer 300.000 kilometer per seconde;0
Volgens mij is natuurkunde het interessantste schoolvak;1
Een schaakbord bevat 64 vakjes;0
Dit restaurant heeft een onaangename sfeer;1
Mount Everest ligt in de Himalaya;0
Ik vind bergbeklimmen spannender dan voetbal;1
Bijen verzamelen nectar uit bloemen;0
Deze app is onnodig ingewikkeld;1
De Atlantische Oceaan ligt tussen Europa en Amerika;0
Ik denk dat deze film een meesterwerk is;1
Een walvis is een zoogdier;0
Deze stoel ziet er goedkoop uit;1
Japan bestaat uit duizenden eilanden;0
Ik vind sushi lekkerder dan pizza;1
Water bevriest bij 0 graden Celsius onder standaarddruk;0
Deze uitleg was verwarrend;1
Het menselijk lichaam bevat meer dan 200 botten;0
Volgens mij is dit een uitstekende investering;1
De maan heeft geen eigen lichtbron;0
Deze muziek klinkt eentonig;1
Een hectare is 10.000 vierkante meter;0
Ik vind dit boek verrassend goed;1
De Nijl stroomt door meerdere Afrikaanse landen;0
Deze kleurcombinatie werkt niet goed;1
Koper geleidt elektriciteit;0
Ik denk dat treinreizen ontspannender zijn dan vliegen;1
Pinguïns kunnen niet vliegen;0
Deze presentatie was inspirerend;1
De aarde draait in ongeveer 24 uur om haar as;0
Volgens mij is dit een slechte gewoonte;1
Venus is de tweede planeet vanaf de zon;0
Deze jas ziet er stijlvol uit;1
Een spin heeft acht poten;0
Ik vind dit spel frustrerend;1
De Grote Oceaan is de grootste oceaan op aarde;0
Deze foto is prachtig vastgelegd;1
Een liter bestaat uit duizend milliliter;0
Ik denk dat deze oplossing te ingewikkeld is;1
De hoofdstad van Canada is Ottawa;0
Dit park voelt erg rustig aan;1
Diamant bestaat uit koolstof;0
Volgens mij is deze acteur onderschat;1
Een mens heeft normaal gesproken 32 tanden;0
Deze kamer oogt ongezellig;1
De Sahara is de grootste hete woestijn ter wereld;0
Ik vind regenachtige dagen vaak sfeervol;1
Een kompas wijst naar het magnetische noorden;0
Deze website is slecht ontworpen;1
Kikkers zijn amfibieën;0
Volgens mij was dat een slimme beslissing;1
De aarde heeft één natuurlijke satelliet;0
Ik vind deze sport saai om naar te kijken;1
De Chinese muur is duizenden kilometers lang;0
Deze maaltijd smaakt uitstekend;1
Mercurius heeft geen manen;0
Ik denk dat dit een overdreven reactie is;1
Een jaar heeft doorgaans 365 dagen;0
Deze documentaire was indrukwekkend;1
Zilver heeft het chemische symbool Ag;0
Volgens mij is dit de mooiste straat van de stad;1
De Alpen strekken zich uit over meerdere landen;0
Deze computer werkt traag;1
Een driehoek heeft drie hoeken;0
Ik vind deze illustratie creatief;1
Het hart pompt bloed door het lichaam;0
Deze beslissing lijkt onverstandig;1
Een vulkaan kan lava uitspuwen;0
Volgens mij verdient dit project meer aandacht;1
Australië is zowel een land als een continent;0
Ik vind dit liedje irritant;1
De evenaar verdeelt de aarde in twee hemisferen;0
Deze stoel zit verrassend comfortabel;1
Bamboe groeit zeer snel;0
Ik denk dat deze aanpak effectief is;1
Saturnus staat bekend om zijn ringen;0
Deze winkel is veel te duur;1
Een vierkant heeft vier gelijke zijden;0
Volgens mij was de scheidsrechter partijdig;1
De zon bestaat voornamelijk uit waterstof en helium;0
Ik vind deze foto emotioneel sterk;1
Een olifant is het grootste landzoogdier;0
Deze ruimte voelt benauwd aan;1
De hoofdstad van Brazilië is Brasília;0
Ik denk dat dit een goed geschreven artikel is;1
Een regenboog ontstaat door breking en reflectie van licht;0
Deze film had een teleurstellend einde;1
De Noordpool ligt in het noordpoolgebied;0
Volgens mij is dit de beste route;1
Een kubus heeft twaalf ribben;0
Ik vind deze tuin bijzonder mooi;1
DNA bevat genetische informatie;0
Deze advertentie is misleidend;1
De Middellandse Zee ligt tussen Europa en Afrika;0
Ik denk dat deze uitvinding nuttig is;1
Een honingbij heeft zes poten;0
Deze cursus is uitstekend opgebouwd;1
De aarde is ongeveer 4,5 miljard jaar oud;0
Volgens mij is dit een overschat product;1
Een rechthoek heeft vier rechte hoeken;0
Ik vind deze stad aantrekkelijker dan de hoofdstad;1
Vleermuizen zijn zoogdieren;0
Deze vergadering was productief;1
De Mount Everest is hoger dan de Mont Blanc;0
Ik denk dat deze verpakking er goedkoop uitziet;1
Een prisma is een meetkundig lichaam;0
Deze roman is meeslepend geschreven;1
Het menselijk brein verbruikt energie;0
Volgens mij is deze kleur te fel;1
De Rijn mondt uit in de Noordzee;0
Ik vind dit museum verrassend interessant;1
Een dag telt 1440 minuten;0
Deze service is ondermaats;1
De aarde heeft zeven continenten;0
Ik denk dat dit een originele oplossing is;1
Kangoeroes komen van nature voor in Australië;0
Deze kamer heeft een prettige uitstraling;1
Een seconde is een tijdseenheid;0
Volgens mij is dit boek moeilijk te volgen;1
Het periodiek systeem bevat chemische elementen;0
Ik vind deze architectuur indrukwekkend;1
Een pinguïn legt eieren;0
Deze website laadt frustrerend langzaam;1
Mars wordt vaak de rode planeet genoemd;0
Ik denk dat dit een uitstekend idee is;1
Een cirkel heeft geen hoekpunten;0
Deze vakantie was onvergetelijk;1
De zon staat gemiddeld ongeveer 150 miljoen kilometer van de aarde;0
Volgens mij is deze prijs niet redelijk;1
Een ton is gelijk aan duizend kilogram;0
Ik vind dit ontwerp elegant;1
Het Amazonegebied bevat tropisch regenwoud;0
Deze uitleg was helder;1
Een komkommer bestaat grotendeels uit water;0
Ik denk dat deze wedstrijd saai zal worden;1
De hoofdstad van Noorwegen is Oslo;0
Deze schildering ziet er indrukwekkend uit;1
Een smartphone bevat elektronische componenten;0
Volgens mij is dit de verkeerde keuze;1
Een octopus heeft acht armen;0
Ik vind dit gerecht verrassend lekker;1
De aarde draait om de zon;0
Deze slogan klinkt erg geforceerd;1
Een regenworm leeft in de bodem;0
Ik denk dat deze oplossing elegant is;1
De Andes vormen een bergketen in Zuid-Amerika;0
Deze stoel is oncomfortabel;1
Een kubus heeft acht hoekpunten;0
Volgens mij is deze conclusie terecht;1
Water bestaat uit waterstof en zuurstof;0
Ik vind deze route veel mooier dan de snelweg;1
De hoofdstad van Argentinië is Buenos Aires;0
Deze presentatie was overtuigend;1
Een wolf behoort tot de hondachtigen;0
Ik denk dat deze reclame irritant is;1
De Noordzee grenst aan Nederland;0
Deze tuin ziet er verzorgd uit;1
Een vulkaan bevat magma onder het oppervlak;0
Volgens mij was dit een gemiste kans;1
De maan draait om de aarde;0
Ik vind deze camera gebruiksvriendelijk;1
