zin;label
Ik vind dat een van de vreemdste feiten over ons zonnestelsel;1
Een klok meet tijd;0
Deze openingszin is erg sterk;1
Een egel houdt een winterslaap;0
Volgens mij is dat een slimme overlevingsstrategie;1
De hoofdstad van Kirgizië is Bisjkek;0
Ik vind dat een interessante naam;1
Een waterval ontstaat wanneer water over een hoogteverschil stroomt;0
Deze poster oogt amateuristisch;1
Een menselijk haar groeit vanuit een haarzakje;0
Volgens mij wordt daar weinig aandacht aan besteed;1
Een albatros kan enorme afstanden afleggen boven zee;0
Ik vind dat indrukwekkender dan veel technische prestaties;1
De aarde draait eenmaal per jaar om de zon;0
Deze beschrijving voelt overdreven;1
Een termietenkolonie kan miljoenen individuen bevatten;0
Volgens mij is dat moeilijk te bevatten;1
De hoofdstad van Slovenië is Ljubljana;0
Ik vind dat een van de aantrekkelijkste hoofdstedenamen van Europa;1
De lift stopte op de twaalfde verdieping;0
Ik vind dat deze gang meer spanning oproept dan sommige thrillers;1
Een kolibrie kan achteruit vliegen;0
Deze ochtend voelt alsof de wereld een tandje zachter draait;1
De rivier mondt uit in de zee;0
Ik denk dat lege bankjes vaak nieuwsgieriger maken dan bezette;1
Een ijsblokje drijft op water;0
Deze straat lijkt speciaal gebouwd voor lange avondwandelingen;1
De antenne staat boven op het gebouw;0
Ik vind dat deze kleur een onverwacht gevoel van rust geeft;1
Een vuurvlieg produceert licht door een chemische reactie;0
Deze film sleept zich voort als een file zonder einde;1
De brug werd vorig jaar gerenoveerd;0
Ik denk dat sommige ramen mooier zijn dan het uitzicht erachter;1
Een havik jaagt op kleine dieren;0
Deze kamer voelt alsof tijd hier langzamer beweegt;1
De wekker ging af om 06:45 uur;0
Ik vind dat dit gerecht meer aandacht verdient dan het krijgt;1
Een tornado bestaat uit snel roterende lucht;0
Deze trap heeft ongeveer evenveel charme als een spreadsheet;1
De vuurtoren werd zichtbaar door de mist;0
Ik denk dat regen een stad interessanter maakt;1
Een kikker begint zijn leven als kikkervisje;0
Deze melodie klinkt alsof ze uit een andere eeuw komt;1
De zonnepanelen liggen op het dak;0
Ik vind dat deze stoel eruitziet alsof comfort verboden was tijdens het ontwerp;1
Een satelliet kan weersgegevens verzamelen;0
Deze boekomslag is mooier dan de inhoud;1
De tunnel loopt onder de rivier door;0
Ik denk dat sommige kaarten kleine kunstwerken zijn;1
Een ijsbeer kan goed zwemmen;0
Deze vergadering voelde langer dan een winter;1
De klok sloeg middernacht;0
Ik vind dat deze straat veel karakter heeft;1
Een specht maakt nestholtes in bomen;0
Deze geur heeft iets onverwacht vertrouwds;1
De trein vertrok volgens dienstregeling;0
Ik denk dat dit het meest verwarrende kruispunt van de provincie is;1
Een komeet beweegt in een baan rond de zon;0
Deze tuin lijkt met buitengewone aandacht ontworpen;1
De temperatuur bereikte 28 graden Celsius;0
Ik vind dat deze film zichzelf veel te serieus neemt;1
Een dolfijn communiceert met geluiden;0
Deze kamer voelt alsof niemand hier ooit haast heeft;1
De vuurtoren staat op een klif;0
Ik denk dat dit gebouw eruitziet als een gestapelde puzzel;1
Een esdoorn verliest zijn bladeren in de herfst;0
Deze muziek klinkt als een rustige treinreis door onbekend gebied;1
De brug rust op betonnen pijlers;0
Ik vind dat deze app meer frustratie oplost dan veroorzaakt;1
Een sneeuwvlok bestaat uit bevroren water;0
Deze soep smaakt verrassend evenwichtig;1
De motor werd uitgeschakeld na aankomst;0
Ik denk dat oude stations een sfeer hebben die nieuwe gebouwen missen;1
Een walvis kan minutenlang onder water blijven;0
Deze route is mooier dan de bestemming;1
De satelliet zond gegevens naar een grondstation;0
Ik vind dat deze ruimte ongewoon prettig aanvoelt;1
Een spin produceert zijde;0
Deze reclame voelt alsof ze mijn tijd probeert te stelen;1
De rivier stroomde langzaam door het dal;0
Ik denk dat mist het landschap interessanter maakt dan zonneschijn;1
Een vuurbal werd geregistreerd door meetapparatuur;0
Deze bibliotheek nodigt uit om urenlang rond te dwalen;1
De lift heeft een maximale capaciteit van acht personen;0
Ik vind dat deze kleur verrassend elegant oogt;1
Een zeehond is een zoogdier;0
Deze straat lijkt rechtstreeks uit een roman te komen;1
De klok wordt aangestuurd door een kwartskristal;0
Ik denk dat sommige stilte waardevoller is dan veel gesprekken;1
Een regenwoud ontvangt veel neerslag;0
Deze stoel heeft alle ergonomie van een baksteen;1
De antenne ontvangt radiosignalen;0
Ik vind dat dit plein veel gezelliger is dan het centrum;1
Een valk kan hoge snelheden bereiken tijdens een duikvlucht;0
Deze film heeft een einde dat lang blijft hangen;1
De trein passeerde vier stations onderweg;0
Ik denk dat dit de vriendelijkste boekwinkel van de stad is;1
Een batterij zet chemische energie om in elektrische energie;0
Deze kamer voelt alsof ze verhalen bewaart;1
De brug verbindt twee oevers;0
Ik vind dat deze wandeling nooit verveelt;1
Een uil jaagt voornamelijk in de nacht;0
Deze geur past perfect bij een regenachtige middag;1
De zon stond laag boven de horizon;0
Ik denk dat dit gebouw veel interessanter is dan de architect bedoelde;1
Een koraalrif biedt leefruimte aan vele soorten;0
Deze muziek heeft meer lagen dan je bij de eerste luisterbeurt merkt;1
De wind draaide naar het noordwesten;0
Ik vind dat deze straatverlichting precies de juiste sfeer creëert;1
Een zeilboot wordt voortbewogen door de wind;0
Deze roman leest als een verzameling herinneringen die nooit echt hebben plaatsgevonden;1
De vulkaan vertoonde verhoogde activiteit;0
Ik denk dat dit café de perfecte plek is om tijd te verspillen;1
Een ijsberg smelt wanneer de temperatuur stijgt;0
Deze plek voelt verder weg van de wereld dan ze werkelijk is;1
De diepste bekende grot ter wereld is de Veryovkina-grot;0
Volgens sommige architecten mist moderne stadsbouw menselijke schaal;1
Een zeekomkommer kan bepaalde organen opnieuw laten aangroeien;0
Veel historici beschouwen de uitvinding van de drukpers als een keerpunt in de geschiedenis;1
De planeet Uranus draait vrijwel horizontaal ten opzichte van zijn baan;0
Sommige schaakspelers vinden eindspelen interessanter dan openingen;1
Een kolibrie kan stil in de lucht blijven hangen;0
Veel reizigers beschouwen treinvervoer als ontspannender dan vliegen;1
De hoofdstad van Montenegro is Podgorica;0
Volgens sommige economen zijn eenvoudige belastingsystemen efficiënter;1
Een octopus heeft drie harten;0
Veel lezers ervaren korte verhalen als krachtiger dan romans;1
De Grote Barrièrerif ligt voor de noordoostkust van Australië;0
Volgens veel ontwerpers leidt eenvoud vaak tot betere producten;1
Een sneeuwuil leeft voornamelijk in arctische gebieden;0
Veel mensen ervaren stilte als aangenamer dan achtergrondmuziek;1
De aarde heeft één natuurlijke satelliet;0
Sommige wetenschappers beschouwen nieuwsgierigheid als een belangrijke motor van vooruitgang;1
Een komodovaraan komt van nature voor in Indonesië;0
Veel fotografen vinden ochtendlicht geschikter dan middaglicht;1
De Nijl stroomt door meerdere Afrikaanse landen;0
Volgens veel sporters is discipline belangrijker dan talent;1
Een regenboog ontstaat door breking en reflectie van licht;0
Veel studenten ervaren praktijkvoorbeelden als leerzamer dan theorie alleen;1
De hoofdstad van Slovakije is Bratislava;0
Sommige koks beschouwen eenvoud als het hoogste niveau van koken;1
Een walrus gebruikt gevoelige snorharen om voedsel te vinden;0
Veel kijkers vinden documentaires informatiever dan fictiefilms;1
Saturnus heeft een uitgebreid ringsysteem;0
Volgens sommige psychologen heeft routine een kalmerend effect;1
Een pinguïn behoort tot de vogels;0
Veel mensen ervaren wandelen als rustgevender dan hardlopen;1
De Amazone bevat meer water dan welke andere rivier ook;0
Sommige programmeurs vinden leesbare code belangrijker dan korte code;1
Een honingbij communiceert via dansbewegingen;0
Veel museumbezoekers waarderen originele kunstwerken meer dan reproducties;1
De aarde draait van west naar oost;0
Volgens veel leraren bevordert feedback het leerproces;1
Een vleermuis gebruikt echolocatie;0
Veel lezers ervaren een onverwacht einde als bevredigender;1
De hoofdstad van Namibië is Windhoek;0
Sommige ondernemers beschouwen consistentie als belangrijker dan snelheid;1
Een flamingo krijgt zijn roze kleur uit voedsel;0
Veel mensen ervaren natuurgebieden als aantrekkelijker dan winkelcentra;1
De maan heeft geen atmosfeer zoals de aarde;0
Volgens sommige onderzoekers levert diep werk betere resultaten op;1
Een ijsbeer heeft een zwarte huid onder zijn vacht;0
Veel reizigers vinden kleine dorpen authentieker dan grote steden;1
De planeet Mars heeft twee natuurlijke manen;0
Sommige docenten beschouwen vragen stellen als een teken van betrokkenheid;1
Een zeester heeft meestal vijf armen;0
Veel luisteraars vinden liveoptredens indrukwekkender dan studio-opnames;1
De hoofdstad van Bhutan is Thimphu;0
Volgens sommige managers werkt autonomie motiverender dan controle;1
Een albatros kan enorme afstanden afleggen boven zee;0
Veel mensen ervaren fysieke boeken als prettiger dan e-books;1
De aarde heeft een magnetisch veld;0
Sommige biologen beschouwen biodiversiteit als essentieel voor stabiele ecosystemen;1
Een krokodil kan tijdens het zwemmen zijn adem lang inhouden;0
Veel architecten vinden daglicht belangrijk voor wooncomfort;1
De Noordelijke IJszee is de kleinste oceaan;0
Volgens sommige historici hebben handelsroutes meer invloed gehad dan oorlogen;1
Een regenworm ademt via zijn huid;0
Veel mensen ervaren zelfgemaakte maaltijden als waardevoller dan afhaalmaaltijden;1
De hoofdstad van Laos is Vientiane;0
Sommige schrijvers vinden herschrijven belangrijker dan het eerste concept;1
Een giraffe heeft zeven nekwervels;0
Veel sportliefhebbers beschouwen teamwork als bepalender dan individuele klasse;1
De aarde is afgeplat aan de polen;0
Volgens sommige filosofen ontstaat wijsheid door ervaring;1
Een koala eet voornamelijk eucalyptusbladeren;0
Veel reizigers ervaren nachttreinen als avontuurlijker dan dagtreinen;1
De planeet Neptunus heeft zeer sterke winden;0
Sommige onderzoekers beschouwen samenwerking als de sleutel tot innovatie;1
Een narwal heeft een lange slagtand;0
Veel lezers vinden historische romans meeslepender dan moderne romans;1
De hoofdstad van Suriname is Paramaribo;0
Volgens sommige ontwerpers is witruimte een essentieel onderdeel van vormgeving;1
Een vuurvlieg produceert licht via bioluminescentie;0
Veel bezoekers ervaren oude bibliotheken als inspirerende plekken;1
De aarde draait eenmaal per jaar om de zon;0
Sommige economen beschouwen vertrouwen als een fundament van markten;1
Een zeepaardje draagt zijn jongen in een broedbuidel;0
Veel mensen ervaren een opgeruimde ruimte als productiever;1
De Grote Sfinx staat in Egypte;0
Volgens sommige musici is timing belangrijker dan techniek;1
Een panda eet voornamelijk bamboe;0
Veel natuurliefhebbers beschouwen regenwouden als de meest indrukwekkende ecosystemen;1
De hoofdstad van Botswana is Gaborone;0
Sommige onderzoekers vinden nieuwsgierigheid belangrijker dan intelligentie;1
Een papegaaivis helpt bij de vorming van zandstranden;0
Veel reizigers ervaren eilandculturen als unieker dan vastelandculturen;1
De zon bestaat voornamelijk uit waterstof en helium;0
Volgens sommige coaches leidt consistent trainen tot betere resultaten dan intensief trainen;1
Een luipaard sleept prooien soms een boom in;0
Veel lezers beschouwen karakterontwikkeling als belangrijker dan plot;1
De hoofdstad van Georgië is Tbilisi;0
Sommige historici vinden primaire bronnen betrouwbaarder dan latere interpretaties;1
Een kameleon kan van kleur veranderen;0
Veel mensen ervaren ambachtelijke producten als waardevoller dan massaproducten;1
De aarde heeft zeven continenten;0
Volgens sommige wetenschappers ontstaan de beste ideeën door langdurige observatie;1
Een bever bouwt dammen van takken en modder;0
Veel bezoekers vinden nationale parken indrukwekkender dan attractieparken;1
De hoofdstad van Kirgizië is Bisjkek;0
Sommige kunstenaars beschouwen beperkingen als een bron van creativiteit;1
Een maanvis kan honderden kilo's wegen;0
Veel wandelaars ervaren bergpaden als uitdagender dan bosroutes;1
De Atlantische Oceaan ligt tussen Europa en Noord-Amerika;0
Volgens sommige leraren bevordert zelfreflectie duurzaam leren;1
Een termietenkolonie kan miljoenen individuen bevatten;0
Veel fotografen beschouwen compositie als belangrijker dan apparatuur;1
De hoofdstad van Madagaskar is Antananarivo;0
Sommige managers vinden duidelijke communicatie belangrijker dan uitgebreide planning;1
Een ijsvogel jaagt op kleine vissen;0
Veel lezers ervaren non-fictie als nuttiger dan fictie;1
De aarde bevat een vloeibare buitenkern;0
Volgens sommige onderzoekers levert specialisatie betere resultaten op dan generalisatie;1
Een valk kan zeer hoge snelheden bereiken tijdens een duikvlucht;0
Veel reizigers vinden berggebieden indrukwekkender dan kustgebieden;1
De klok in het gemeentehuis liep drie minuten achter;0
Volgens veel bezoekers heeft dit plein een unieke sfeer;1
Een kameleon kan van kleur veranderen;0
Deze steeg lijkt rechtstreeks uit een mysterieroman te komen;1
De rivier bereikte haar hoogste waterstand van het jaar;0
Veel mensen vinden herfst het mooiste seizoen;1
Een honingbij communiceert via een dans;0
Deze film voelt als een eindeloze omweg;1
De windturbine draaide met constante snelheid;0
Sommigen beschouwen dit gebouw als een architectonisch meesterwerk;1
Een ijsbeer heeft een dikke vacht;0
Deze tuin straalt meer rust uit dan een gemiddeld park;1
De trein vertrok exact op tijd;0
Veel leerlingen vinden deze opdracht onnodig ingewikkeld;1
Een walvis is een zoogdier;0
Deze straat heeft meer karakter dan de meeste winkelcentra;1
De maan voltooit een baan rond de aarde in ongeveer 27 dagen;0
Volgens haar is dit het beste boek van het decennium;1
Een vuurtoren helpt schepen bij navigatie;0
Deze kamer voelt verrassend ruim aan;1
Het station werd geopend in 1898;0
Veel reizigers vinden deze route bijzonder mooi;1
Een regenboog ontstaat door breking en reflectie van licht;0
Deze muziek klinkt alsof de tijd vertraagt;1
De brug overspant een afstand van tweehonderd meter;0
Volgens hem mist deze film een sterk verhaal;1
Een dolfijn gebruikt geluidsgolven voor oriëntatie;0
Deze bibliotheek heeft een bijna magische uitstraling;1
Het meer bevroor tijdens de koude winter;0
Veel bewoners beschouwen dit als de gezelligste wijk van de stad;1
Een specht hakt gaten in bomen;0
Deze vergadering leek langer te duren dan nodig was;1
De satelliet verzamelde gegevens over het weer;0
Volgens haar heeft dit schilderij een bijzondere emotionele lading;1
Een eikel kan uitgroeien tot een eikenboom;0
Deze geur past perfect bij een regenachtige avond;1
De vulkaan vertoonde verhoogde activiteit;0
Veel bezoekers ervaren deze plek als rustgevend;1
Een spin maakt een web van zijde;0
Deze trap lijkt ontworpen zonder aandacht voor comfort;1
De klok sloeg twaalf keer;0
Volgens hem is dit restaurant zwaar overschat;1
Een zeester behoort tot de stekelhuidigen;0
Deze roman leest als een prachtige herinnering;1
De tunnel loopt onder de rivier door;0
Veel studenten vinden dit vak interessant;1
Een adelaar heeft een uitstekend gezichtsvermogen;0
Deze straatverlichting geeft de buurt een warme uitstraling;1
De temperatuur daalde tot onder nul graden;0
Volgens haar was dit concert onvergetelijk;1
Een koraalrif biedt leefruimte aan duizenden organismen;0
Deze stoel lijkt gemaakt voor korte bezoeken;1
De trein passeerde vijf stations;0
Veel mensen vinden deze app gebruiksvriendelijk;1
Een komeet draait om de zon;0
Deze route is mooier dan veel toeristische alternatieven;1
De antenne ontving radiosignalen;0
Volgens hem voelt deze ruimte ongezellig aan;1
Een uil jaagt voornamelijk 's nachts;0
Deze melodie klinkt verrassend tijdloos;1
Het schip voer de haven binnen;0
Veel wandelaars beschouwen dit pad als bijzonder sfeervol;1
Een lawine bestaat uit snel bewegende sneeuw;0
Deze film heeft een einde dat lang blijft nazinderen;1
De batterij leverde twaalf volt spanning;0
Volgens haar oogt dit gebouw indrukwekkend;1
Een sneeuwvlok bestaat uit ijskristallen;0
Deze wijk heeft een opvallend vriendelijke sfeer;1
De rivier stroomde door een smalle kloof;0
Veel lezers vinden dit boek inspirerend;1
Een valk kan tijdens een duikvlucht zeer hoge snelheden bereiken;0
Deze tuin lijkt met uitzonderlijke zorg onderhouden;1
Het vliegtuig bereikte een hoogte van tien kilometer;0
Volgens hem is dit de mooiste brug van het land;1
Een schildpad legt eieren;0
Deze kamer voelt alsof de tijd er stilstaat;1
De zonnepanelen produceerden elektriciteit;0
Veel bezoekers ervaren dit museum als indrukwekkend;1
Een prisma kan licht opsplitsen in kleuren;0
Deze soep smaakt verrassend verfijnd;1
De wind draaide naar het westen;0
Volgens haar heeft deze stad een unieke charme;1
Een vleermuis gebruikt echolocatie;0
Deze straat lijkt gemaakt voor avondwandelingen;1
De lift heeft een capaciteit van acht personen;0
Veel gasten vinden dit hotel bijzonder comfortabel;1
Een regenmeter meet de hoeveelheid neerslag;0
Deze voorstelling wist het publiek volledig mee te nemen;1
Het ijs op het meer was zes centimeter dik;0
Volgens hem heeft deze foto iets tijdloos;1
Een bever bouwt dammen van hout;0
Deze boekwinkel voelt als een verborgen schat;1
De zon kwam op om 05:21 uur;0
Veel bezoekers vinden deze kustlijn adembenemend;1
Een kraai behoort tot de zangvogels;0
Deze ruimte heeft meer sfeer dan de architect waarschijnlijk bedoelde;1
De brug werd versterkt met stalen kabels;0
Volgens haar verdient dit kunstwerk meer waardering;1
Een zeilboot gebruikt windkracht om vooruit te komen;0
Deze locatie voelt afgezonderd van de rest van de wereld;1
De raket bereikte de ruimte;0
Veel mensen beschouwen dit als een uitstekende oplossing;1
Een cactus slaat water op in zijn stengel;0
Deze muziek klinkt als een reis door herinneringen;1
De klok wordt aangedreven door een mechanisch uurwerk;0
Volgens hem is dit plein veel aantrekkelijker dan het centrum;1



